variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable17,variable18,variable19,classLabel
a,"24,33",25,y,p,i,bb,"4,5",f,f,0,f,g,200,456,2000000,f,0,no.
a,"15,75","3,75e-05",u,g,c,v,1,f,f,0,f,g,120,18,1200000,f,0,no.
a,45,4585,u,g,k,h,1,f,f,0,t,s,240,0,2400000,NA,0,no.
a,"30,42",1375,u,g,W,h,"0,04",f,t,3,f,g,0,33,0,NA,0,no.
a,NA,35,u,g,d,v,3,t,f,0,t,g,300,0,3000000,NA,0,no.
b,"17,25",0.0003,u,g,k,v,"0,04",f,f,0,t,g,160,40,1600000,NA,0,no.
a,"38,58",0.0005,u,g,cc,v,"13,5",t,f,0,t,g,980,0,9800000,NA,0,no.
b,"22,67","7,5e-05",u,g,i,v,1585,f,t,1,t,g,400,9,4000000,NA,0,no.
a,49,15,u,g,j,j,0,t,f,0,t,g,100,27,1000000,f,0,no.
b,"27,83",15,u,g,W,v,"2,25",f,t,1,t,g,100,3,1000000,NA,0,no.
a,"16,5",125,u,g,q,v,"0,25",f,t,1,f,g,108,98,1080000,t,0,no.
b,"25,67",221,y,p,aa,v,4,t,f,0,f,g,188,0,1880000,f,0,no.
b,"36,67",0.0002,u,g,i,v,"0,25",f,f,0,t,g,221,0,2210000,NA,0,no.
b,"26,17","8,35e-05",u,g,cc,v,1165,f,f,0,f,g,100,0,1000000,f,0,no.
b,NA,0.0005,y,p,aa,v,"8,5",t,f,0,f,g,0,0,0,f,0,no.
a,"47,25","7,5e-05",u,g,q,h,"2,75",t,t,1,f,g,333,892,3330000,NA,1,yes.
a,"33,67","3,75e-05",u,g,cc,v,375,f,f,0,f,g,300,44,3000000,NA,1,yes.
b,45,85,u,g,cc,h,14,t,t,1,t,g,88,2000,880000,t,1,yes.
b,"33,17",104,u,g,r,h,"6,5",t,f,0,t,g,164,31285,1640000,NA,1,yes.
a,25,"8,75e-05",u,g,x,h,"1,04",t,f,0,t,g,160,5860,1600000,f,1,yes.
b,"26,67",175,y,p,c,v,1,t,t,5,t,g,160,5777,1600000,NA,1,yes.
b,"48,5",425,u,g,m,v,125,t,f,0,t,g,225,0,2250000,NA,1,yes.
b,"37,42",204,u,g,W,v,"0,04",t,f,0,t,g,400,5800,4000000,NA,1,yes.
b,18,"1,65e-05",u,g,q,n,"0,21",f,f,0,f,g,200,40,2000000,f,1,yes.
a,"56,5",16,u,g,j,ff,0,t,t,15,f,g,0,247,0,t,1,yes.
b,"25,75",0.00005,u,g,c,v,"1,46",t,t,5,t,g,312,0,3120000,t,1,yes.
a,"22,58",1075,u,g,q,v,415,t,t,5,t,g,0,560,0,NA,1,yes.
b,"33,17",304,y,p,c,h,"2,04",t,t,1,t,g,180,18027,1800000,t,1,yes.
b,32,175,y,p,e,h,"0,04",t,f,0,t,g,393,0,3930000,NA,1,yes.
a,"40,83",1,u,g,q,h,"1,75",t,f,0,f,g,29,837,290000,NA,1,yes.
b,"59,67",154,u,g,q,v,125,t,f,0,t,g,260,0,2600000,f,1,yes.
b,"42,5",4915,y,p,W,v,3165,t,f,0,t,g,52,1442,520000,NA,1,yes.
a,"28,08",15,y,p,e,z,0,t,f,0,f,g,0,13212,0,NA,1,yes.
a,"37,75",55,u,g,q,v,125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,"53,92",9625,u,g,e,v,8665,t,t,5,f,g,0,0,0,NA,1,yes.
b,"47,67","2,9e-05",u,g,c,bb,15,t,t,20,f,g,0,15000,0,t,1,yes.
b,"23,25",0.0001,u,g,c,v,835,t,f,0,f,s,300,0,3000000,f,1,yes.
b,"22,67",254,y,p,c,h,2585,t,f,0,f,g,0,0,0,f,1,yes.
b,"54,58",9415,u,g,ff,ff,14415,t,t,11,t,g,30,300,300000,NA,1,yes.
b,"34,25",0.0003,u,g,cc,h,7415,t,f,0,t,g,0,0,0,NA,1,yes.
b,"27,58",204,y,p,aa,v,2,t,t,3,t,g,370,560,3700000,NA,1,yes.
a,46,0.0004,u,g,j,j,0,t,f,0,f,g,100,960,1000000,NA,1,yes.
a,"60,92",0.0005,u,g,aa,v,4,t,t,4,f,g,0,99,0,t,1,yes.
a,"47,42",0.0003,u,g,x,v,13875,t,t,2,t,g,519,1704,5190000,NA,1,yes.
b,"37,33",65,u,g,m,h,"4,25",t,t,12,t,g,93,0,930000,NA,1,yes.
a,"33,25",25,y,p,c,v,"2,5",f,f,0,t,g,0,2,0,f,0,no.
a,"24,58","6,7e-05",u,g,aa,h,"1,75",t,f,0,f,g,400,0,4000000,NA,0,no.
b,"21,83",154,u,g,k,v,85,f,f,0,t,g,356,0,3560000,NA,0,no.
b,"15,17",0.0007,u,g,e,v,1,f,f,0,f,g,600,0,6000000,NA,0,no.
b,"22,92",3165,y,p,c,v,165,f,f,0,f,g,160,1058,1600000,NA,0,no.
a,"69,5",0.0006,u,g,ff,ff,0,f,f,0,f,s,0,0,0,f,0,no.
b,33,25,y,p,W,v,7,f,f,0,t,g,280,0,2800000,NA,0,no.
a,23,1835,u,g,j,j,0,f,t,1,f,g,200,53,2000000,NA,0,no.
b,22,"7,9e-05",u,g,W,v,"0,29",f,t,1,f,g,420,283,4200000,NA,0,no.
b,"24,75","5,4e-05",u,g,m,v,1,f,f,0,t,g,120,1,1200000,NA,0,no.
b,"20,75",5085,y,p,j,v,"0,29",f,f,0,f,g,140,184,1400000,NA,0,no.
b,23,"7,5e-05",u,g,m,v,"0,5",t,f,0,t,s,320,0,3200000,NA,0,no.
b,"20,67","8,35e-05",y,p,c,v,2,f,f,0,t,s,240,0,2400000,f,0,no.
b,"48,75",26335,y,p,ff,ff,0,t,f,0,t,g,0,0,0,f,0,no.
b,"51,83",0.0003,y,p,ff,ff,"1,5",f,f,0,f,g,180,4,1800000,f,0,no.
b,"22,75",115,u,g,i,v,415,f,f,0,f,g,0,0,0,NA,0,no.
a,"17,92",1021,u,g,ff,ff,0,f,f,0,f,g,0,50,0,NA,0,no.
NA,"42,25",175,y,p,NA,NA,0,f,f,0,t,g,150,1,1500000,f,0,no.
a,"27,67",204,u,g,W,v,"0,25",f,f,0,t,g,180,50,1800000,f,0,no.
b,"28,75",15,y,p,c,v,"1,5",t,f,0,t,g,0,225,0,f,0,no.
b,"37,75",0.0007,u,g,q,h,"11,5",t,t,7,t,g,300,5,3000000,t,0,no.
b,"28,75",1165,u,g,k,v,"0,5",t,f,0,f,s,280,0,2800000,NA,0,no.
b,"23,5",275,u,g,ff,ff,"4,5",f,f,0,f,g,160,25,1600000,f,0,no.
a,"29,5",1085,y,p,x,v,1,f,f,0,f,g,280,13,2800000,NA,0,no.
a,"31,92",3125,u,g,ff,ff,"3,04",f,t,2,t,g,200,4,2000000,NA,0,no.
b,"18,83","4,15e-05",y,p,c,v,165,f,t,1,f,g,200,1,2000000,t,0,no.
b,"26,75",45,y,p,c,bb,"2,5",f,f,0,f,g,200,1210,2000000,f,0,no.
a,"27,17",125,u,g,ff,ff,0,f,t,1,f,g,92,300,920000,t,0,no.
b,"47,17",5835,u,g,W,v,"5,5",f,f,0,f,g,465,150,4650000,f,0,no.
b,"23,75","4,15e-05",y,p,c,v,"0,04",f,t,2,f,g,128,6,1280000,NA,0,no.
b,"41,58",175,u,g,k,v,"0,21",t,f,0,f,g,160,0,1600000,NA,0,no.
b,"26,33",13,u,g,e,dd,0,f,f,0,t,g,140,1110,1400000,f,0,no.
b,"39,42",171,y,p,m,v,165,f,f,0,f,s,400,0,4000000,NA,0,no.
b,"35,25",3165,u,g,x,h,"3,75",t,f,0,t,g,680,0,6800000,f,0,no.
b,"18,83",354,y,p,ff,ff,0,f,f,0,t,g,180,1,1800000,f,0,no.
b,"44,83",0.0007,y,p,c,v,1625,f,f,0,f,g,160,2,1600000,NA,0,no.
b,"50,75","5,85e-05",u,g,ff,ff,0,f,f,0,f,g,145,0,1450000,f,0,no.
b,"19,17",0.0004,y,p,i,v,1,f,f,0,t,g,360,1000,3600000,f,0,no.
b,"21,5",115,u,g,i,v,"0,5",t,f,0,t,g,100,68,1000000,f,0,no.
a,"25,58",0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,NA,1,yes.
a,"20,42","8,35e-05",u,g,q,v,1585,t,t,1,f,g,0,0,0,t,1,yes.
a,"44,17",6665,u,g,q,v,7375,t,t,3,t,g,0,0,0,t,1,yes.
b,"34,75",15,u,g,r,n,5375,t,t,9,t,g,0,134,0,NA,1,yes.
b,"20,5",1,y,p,c,v,"2,5",t,f,0,f,s,40,0,400000,NA,1,yes.
b,"22,67","1,65e-05",u,g,c,j,"2,25",f,f,0,t,s,0,0,0,NA,1,yes.
b,"22,08","8,3e-05",u,g,c,h,2165,f,f,0,t,g,128,0,1280000,NA,1,yes.
b,"42,83",4625,u,g,q,v,"4,58",t,f,0,f,s,0,0,0,NA,1,yes.
a,"18,92",925,y,p,c,v,1,t,t,4,t,g,80,500,800000,t,1,yes.
a,"20,67",0.0003,u,g,q,v,165,t,t,3,f,g,100,6,1000000,NA,1,yes.
a,"32,33","5,4e-05",u,g,cc,v,"0,04",t,f,0,f,g,440,11177,4400000,f,1,yes.
b,"28,92",15,u,g,c,h,5335,t,t,11,f,g,0,2283,0,NA,1,yes.
a,"52,83",15,u,g,c,v,"5,5",t,t,14,f,g,0,2200,0,NA,1,yes.
a,"20,67",1835,u,g,q,v,2085,t,t,5,f,g,220,2503,2200000,NA,1,yes.
b,"36,25",0.0005,u,g,c,bb,"2,5",t,t,6,f,g,0,367,0,NA,1,yes.
a,"20,33",1,u,g,c,h,1,t,t,4,f,g,50,1465,500000,NA,1,yes.
b,"25,75","7,5e-05",u,g,c,bb,"0,25",t,f,0,f,g,349,23,3490000,f,1,yes.
a,"28,17","3,75e-05",u,g,q,v,585,t,t,4,f,g,80,0,800000,t,1,yes.
b,"23,92","6,65e-05",u,g,c,v,165,f,f,0,f,g,100,0,1000000,NA,1,yes.
b,56,125,u,g,k,h,8,t,f,0,t,g,24,2028,240000,NA,1,yes.
a,"20,75",1025,u,g,q,v,"0,71",t,t,2,t,g,49,0,490000,t,1,yes.
a,"30,5",65,u,g,c,bb,4,t,t,7,t,g,0,3065,0,t,1,yes.
a,"45,83",105,u,g,q,v,5,t,t,7,t,g,0,0,0,t,1,yes.
b,39,0.0005,u,g,cc,v,"3,5",t,t,10,t,g,0,0,0,t,1,yes.
b,"22,08",11,u,g,cc,v,665,t,f,0,f,g,100,0,1000000,NA,1,yes.
b,"28,25",5125,u,g,x,v,"4,75",t,t,2,f,g,420,7,4200000,NA,1,yes.
a,"18,83",4415,y,p,c,h,3,t,f,0,f,g,240,0,2400000,f,1,yes.
a,"28,67",104,u,g,c,v,"2,5",t,t,5,t,g,300,1430,3000000,NA,1,yes.
a,"22,5",846,y,p,x,v,"2,46",f,f,0,f,g,164,0,1640000,f,1,yes.
b,NA,105,u,g,x,v,"6,5",t,f,0,f,g,0,0,0,f,1,yes.
b,"36,08",254,u,g,ff,ff,0,f,f,0,f,g,0,1000,0,NA,0,no.
NA,"40,83",35,u,g,i,bb,"0,5",f,f,0,f,s,1160,0,11600000,f,0,no.
b,20,125,y,p,k,v,125,f,f,0,f,g,140,4,1400000,NA,0,no.
b,"43,25",2521,u,g,q,h,"0,21",t,t,1,f,g,760,90,7600000,NA,0,no.
b,"52,33",1375,y,p,c,h,"9,46",t,f,0,t,g,200,100,2000000,NA,0,no.
b,"19,33",10915,u,g,c,bb,585,f,t,2,t,g,200,7,2000000,NA,0,no.
b,"23,58","4,6e-05",y,p,W,v,2625,t,t,6,t,g,208,347,2080000,t,0,no.
b,"69,17",0.0009,u,g,ff,ff,4,f,t,1,f,g,70,6,700000,NA,0,no.
a,"24,92",125,u,g,ff,ff,0,t,f,0,f,g,80,0,800000,f,0,no.
a,"23,58","5,85e-05",y,p,ff,ff,125,f,f,0,f,g,120,87,1200000,f,0,no.
b,20,0,u,g,d,v,"0,5",f,f,0,f,g,144,0,1440000,NA,0,no.
a,32,0.0006,u,g,d,v,"1,25",f,f,0,f,g,272,0,2720000,NA,0,no.
b,"27,83",0.0001,y,p,d,h,3,f,f,0,f,g,176,537,1760000,NA,0,no.
b,"29,83",125,y,p,k,v,"0,25",f,f,0,f,g,224,0,2240000,f,0,no.
b,"25,67","2,9e-05",y,p,c,v,"1,5",f,f,0,t,g,160,0,1600000,f,0,no.
b,"31,25",2835,u,g,ff,ff,0,f,t,5,f,g,176,146,1760000,NA,0,no.
b,"23,08",25,u,g,ff,ff,85,f,f,0,t,g,100,4208,1000000,NA,0,no.
b,31,2085,u,g,c,v,85,f,f,0,f,g,300,0,3000000,NA,0,no.
b,"22,17","5,85e-05",y,p,ff,ff,0,f,f,0,f,g,100,0,1000000,NA,0,no.
b,NA,0.0004,y,p,i,v,85,f,f,0,t,g,411,0,4110000,f,0,no.
b,"45,17",15,u,g,c,v,"2,5",t,f,0,t,g,140,0,1400000,NA,0,no.
b,"24,58",135,y,p,ff,ff,0,f,f,0,f,g,NA,0,NA,f,0,no.
b,"33,67",125,u,g,W,v,1165,f,f,0,f,g,120,0,1200000,NA,0,no.
b,"40,58",15,u,g,i,bb,0,f,f,0,f,s,300,0,3000000,NA,0,no.
b,"16,33",4085,u,g,i,h,415,f,f,0,t,g,120,0,1200000,NA,0,no.
b,"35,75",2415,u,g,W,v,125,f,t,2,f,g,220,1,2200000,t,0,no.
a,NA,15,u,g,ff,ff,0,f,t,2,t,g,200,105,2000000,NA,0,no.
b,"49,58",19,u,g,ff,ff,0,t,t,1,f,g,94,0,940000,NA,0,no.
a,"30,25",55,u,g,k,v,"5,5",f,f,0,t,s,100,0,1000000,NA,0,no.
b,"34,67",108,u,g,m,v,1165,f,f,0,f,s,28,0,280000,f,0,no.
a,"50,25","8,35e-05",u,g,aa,v,"0,5",f,f,0,t,g,240,117,2400000,f,0,no.
b,NA,0.0003,y,p,i,bb,7,f,f,0,f,g,0,1,0,f,0,no.
a,"57,58",0.0002,u,g,ff,ff,"6,5",f,t,1,f,g,0,10,0,t,0,no.
a,"24,83",45,u,g,W,v,1,f,f,0,t,g,360,6,3600000,f,0,no.
b,"22,25",0.0009,u,g,aa,v,85,f,f,0,f,g,0,0,0,f,0,no.
b,"21,08",10085,y,p,e,h,"1,25",f,f,0,f,g,260,0,2600000,NA,0,no.
a,"52,17",0,y,p,ff,ff,0,f,f,0,f,g,0,0,0,NA,0,no.
a,"23,58",115,y,p,k,h,3,f,f,0,t,g,20,16,200000,f,0,no.
b,"21,5",975,u,g,c,v,"0,25",t,f,0,f,g,140,0,1400000,NA,0,no.
a,"28,5",304,y,p,x,h,"2,54",t,t,1,f,g,70,0,700000,NA,1,yes.
b,"19,17",95,u,g,W,v,"1,5",t,f,0,f,g,120,2206,1200000,NA,1,yes.
a,"21,5",0.0006,u,g,aa,v,"2,5",t,t,3,f,g,80,918,800000,t,1,yes.
b,"17,5",22,l,gg,ff,o,0,f,f,0,t,p,450,100000,4500000,f,1,yes.
b,"26,67",271,y,p,cc,v,"5,25",t,t,1,f,g,211,0,2110000,NA,1,yes.
b,"34,42",425,u,g,i,bb,"3,25",t,t,2,f,g,274,610,2740000,t,1,yes.
b,"73,42",1775,u,g,ff,ff,0,t,f,0,t,g,0,0,0,f,1,yes.
a,23,1175,u,g,x,h,"0,5",t,t,2,t,g,300,551,3000000,NA,1,yes.
b,"23,08",25,u,g,c,v,1085,t,t,11,t,g,60,2184,600000,NA,1,yes.
b,"19,42",65,u,g,W,h,"1,46",t,t,7,f,g,80,2954,800000,t,1,yes.
b,"23,33",11625,y,p,W,v,835,t,f,0,t,g,160,300,1600000,NA,1,yes.
b,"42,17",504,u,g,q,h,"12,75",t,f,0,t,g,92,0,920000,NA,1,yes.
b,"21,25",15,u,g,W,v,"1,5",f,f,0,f,g,150,8,1500000,NA,1,yes.
b,"34,17",525,u,g,W,v,85,f,f,0,t,g,290,6,2900000,NA,1,yes.
a,"47,75",0.0008,u,g,c,v,7875,t,t,6,t,g,0,1260,0,t,1,yes.
a,"44,33",0,u,g,c,v,"2,5",t,f,0,f,g,0,0,0,NA,1,yes.
b,"39,5",425,u,g,c,bb,"6,5",t,t,16,f,g,117,1210,1170000,t,1,yes.
a,"41,17",65,u,g,q,v,"0,5",t,t,3,t,g,145,0,1450000,NA,1,yes.
b,"29,92",1835,u,g,c,h,4335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,"23,17",0,NA,NA,NA,NA,0,f,f,0,f,p,NA,0,NA,f,1,yes.
b,"35,17",25,u,g,k,v,"4,5",t,t,7,f,g,150,1270,1500000,t,1,yes.
a,"19,17",8585,u,g,cc,h,"0,75",t,t,7,f,g,96,0,960000,NA,1,yes.
b,"52,5",65,u,g,k,v,"6,29",t,t,15,f,g,0,11202,0,t,1,yes.
b,"39,92",621,u,g,q,v,"0,04",t,t,1,f,g,200,300,2000000,t,1,yes.
b,"21,33",105,u,g,c,v,3,t,f,0,t,g,0,0,0,NA,1,yes.
a,"35,75","9,15e-05",u,g,aa,v,"0,75",t,t,4,f,g,0,1583,0,t,1,yes.
b,"67,75",55,u,g,e,z,13,t,t,1,t,g,0,0,0,t,1,yes.
b,"32,67",0.0009,y,p,W,h,"5,25",t,f,0,t,g,154,0,1540000,f,1,yes.
b,"49,5",7585,u,g,i,bb,7585,t,t,15,t,g,0,5000,0,t,1,yes.
b,21,0.0003,y,p,d,v,1085,t,t,8,t,g,160,1,1600000,t,1,yes.
a,"52,5",0.0007,u,g,aa,h,3,f,f,0,f,g,0,0,0,f,0,no.
a,"33,25",0.0003,y,p,aa,v,2,f,f,0,f,g,180,0,1800000,NA,0,no.
b,"18,33",121,y,p,e,dd,0,f,f,0,f,g,100,0,1000000,f,0,no.
b,"29,5","5,8e-05",u,g,W,v,"0,29",f,t,1,f,g,340,2803,3400000,t,0,no.
b,"22,17",225,u,g,i,v,125,f,f,0,f,g,160,10,1600000,NA,0,no.
b,"22,92","1,7e-05",u,g,m,v,85,f,f,0,f,s,0,0,0,f,0,no.
b,"19,42",725,u,g,m,v,"0,04",f,t,1,f,g,100,1,1000000,NA,0,no.
b,"26,17",125,y,p,k,h,"1,25",f,f,0,t,g,0,17,0,NA,0,no.
b,"27,58",325,y,p,q,h,5085,f,t,2,t,g,369,1,3690000,t,0,no.
b,16,3125,u,g,W,v,85,f,t,1,f,g,0,6,0,NA,0,no.
a,"28,58",375,u,g,c,v,"0,25",f,t,1,t,g,40,154,400000,NA,0,no.
a,"38,75",15,u,g,ff,ff,0,f,f,0,f,g,76,0,760000,NA,0,no.
b,"32,08",0.0004,y,p,cc,v,"1,5",f,f,0,t,g,120,0,1200000,f,0,no.
b,"18,25","1,65e-05",u,g,d,v,"0,25",f,f,0,t,s,280,0,2800000,NA,0,no.
a,"21,75",175,y,p,j,j,0,f,f,0,f,g,160,0,1600000,NA,0,no.
b,"18,58",571,u,g,d,v,"0,54",f,f,0,f,g,120,0,1200000,f,0,no.
b,23,"7,5e-05",u,g,m,v,"0,5",f,f,0,t,s,320,0,3200000,f,0,no.
a,"22,67","7,5e-05",u,g,c,v,2,f,t,2,t,g,200,394,2000000,NA,0,no.
NA,"33,17",225,y,p,cc,v,"3,5",f,f,0,t,g,200,141,2000000,f,0,no.
b,23,"6,25e-05",y,p,aa,v,125,t,f,0,f,g,180,1,1800000,NA,0,no.
b,"22,25","4,6e-05",u,g,k,v,125,f,f,0,t,g,280,55,2800000,NA,0,no.
NA,"28,17","5,85e-05",u,g,aa,v,"0,04",f,f,0,f,g,260,1004,2600000,f,0,no.
a,"53,33","1,65e-05",u,g,ff,ff,0,f,f,0,t,s,62,27,620000,f,0,no.
a,"24,5",2415,y,p,c,v,0,f,f,0,f,g,120,0,1200000,f,0,no.
b,"25,92","8,75e-05",u,g,k,v,375,f,t,2,t,g,174,3,1740000,t,0,no.
b,"16,33",275,u,g,aa,v,665,f,t,1,f,g,80,21,800000,t,0,no.
b,34,45,u,g,aa,v,1,t,f,0,t,g,240,0,2400000,NA,0,no.
b,"49,17",229,u,g,ff,ff,"0,29",f,f,0,f,g,200,3,2000000,NA,0,no.
a,"23,5",15,u,g,W,v,875,f,f,0,t,g,160,0,1600000,f,0,no.
a,"19,58","6,65e-05",u,g,W,v,1665,f,f,0,f,g,220,5,2200000,NA,0,no.
b,"21,17",0,u,g,c,v,"0,5",f,f,0,t,s,0,0,0,f,0,no.
a,"38,33",4415,u,g,c,v,125,f,f,0,f,g,160,0,1600000,f,0,no.
b,"37,5","8,35e-05",u,g,e,v,"0,04",f,f,0,f,g,120,5,1200000,NA,0,no.
a,"21,08",0.0005,y,p,ff,ff,0,f,f,0,f,g,0,0,0,NA,0,no.
b,28,0.0003,u,g,W,v,"0,75",f,f,0,t,g,300,67,3000000,NA,0,no.
b,"25,17",0.0003,u,g,c,v,"1,25",f,t,1,f,g,0,22,0,NA,0,no.
b,"32,92",25,u,g,aa,v,"1,75",f,t,2,t,g,720,0,7200000,t,0,no.
a,"22,75",6165,u,g,aa,v,165,f,f,0,f,g,220,1000,2200000,NA,0,no.
b,"28,25","8,75e-05",u,g,m,v,"0,96",t,t,3,t,g,396,0,3960000,t,1,yes.
b,"34,17",154,u,g,cc,v,"1,54",t,t,1,t,g,520,50000,5200000,NA,1,yes.
b,"31,92",446,u,g,cc,h,"6,04",t,t,3,f,g,311,300,3110000,NA,1,yes.
a,"29,5","4,6e-05",u,g,k,v,"0,54",t,t,4,f,g,380,500,3800000,NA,1,yes.
b,"23,17",0,u,g,cc,v,85,t,f,0,f,g,0,0,0,f,1,yes.
a,"18,08","3,75e-05",l,gg,cc,ff,10,f,f,0,t,s,300,0,3000000,f,1,yes.
a,"24,75",0.0003,u,g,q,h,1835,t,t,19,f,g,0,500,0,NA,1,yes.
a,"20,83",0.0003,u,g,aa,v,"0,04",t,f,0,f,g,100,0,1000000,f,1,yes.
b,28,0.0002,u,g,k,h,4165,t,t,2,t,g,181,0,1810000,NA,1,yes.
b,"20,42",1835,u,g,c,v,"2,25",t,t,1,f,g,100,150,1000000,NA,1,yes.
b,"28,67",9335,u,g,q,h,5665,t,t,6,f,g,381,168,3810000,t,1,yes.
b,"21,92","5,4e-05",y,p,x,v,"0,04",t,t,1,t,g,840,59,8400000,t,1,yes.
b,"43,25",0.0003,u,g,q,h,6,t,t,11,f,g,80,0,800000,NA,1,yes.
b,"20,42",0.0007,u,g,c,v,1625,t,t,3,f,g,200,1391,2000000,NA,1,yes.
b,42,"2,05e-05",u,g,i,h,5125,t,f,0,f,g,400,0,4000000,NA,1,yes.
a,"23,42","7,9e-05",y,p,q,v,"1,5",t,t,2,t,g,80,400,800000,NA,1,yes.
a,"25,17",2875,u,g,x,h,875,t,f,0,f,g,360,0,3600000,NA,1,yes.
b,"24,83",275,u,g,c,v,"2,25",t,t,6,f,g,NA,600,NA,NA,1,yes.
NA,"24,5",1275,u,g,c,bb,"4,75",t,t,2,f,g,73,444,730000,NA,1,yes.
b,"37,5",1125,y,p,d,v,"1,5",f,f,0,t,g,431,0,4310000,NA,1,yes.
b,"36,75","1,25e-05",y,p,c,v,"1,5",f,f,0,t,g,232,113,2320000,f,1,yes.
b,"28,25",504,y,p,c,bb,"1,5",t,t,8,t,g,144,7,1440000,t,1,yes.
b,"32,75",15,u,g,cc,h,"5,5",t,t,3,t,g,0,0,0,t,1,yes.
a,"17,83",11,u,g,x,h,1,t,t,11,f,g,0,3000,0,NA,1,yes.
a,"22,83",229,u,g,q,h,"2,29",t,t,7,t,g,140,2384,1400000,t,1,yes.
b,"13,75",0.0004,y,p,W,v,"1,75",t,t,2,t,g,120,1000,1200000,NA,1,yes.
a,41,204,y,p,q,h,125,t,t,23,t,g,455,1236,4550000,NA,1,yes.
b,"23,08",115,u,g,W,h,2125,t,t,11,t,g,290,284,2900000,NA,1,yes.
b,"20,17",5625,u,g,W,v,"1,71",t,f,0,f,s,120,0,1200000,NA,1,yes.
a,"50,08",1254,u,g,aa,v,"2,29",t,t,3,t,g,156,0,1560000,NA,1,yes.
b,27,"7,5e-05",u,g,c,h,"4,25",t,t,3,t,g,312,150,3120000,t,1,yes.
NA,"29,75","6,65e-05",u,g,W,v,"0,25",f,f,0,t,g,300,0,3000000,f,0,no.
b,"25,25",0.0001,u,g,aa,v,"0,5",f,f,0,f,g,200,0,2000000,NA,0,no.
b,"39,17",25,y,p,i,h,10,f,f,0,t,s,200,0,2000000,NA,0,no.
b,"20,08","2,5e-05",u,g,q,v,125,f,f,0,f,g,200,0,2000000,f,0,no.
b,"44,25",0.00005,u,g,m,v,"10,75",t,f,0,f,s,400,0,4000000,f,0,no.
a,"27,67",15,u,g,m,v,2,t,f,0,f,s,368,0,3680000,NA,0,no.
b,"26,92",225,u,g,i,bb,"0,5",f,f,0,t,g,640,4000,6400000,NA,0,no.
a,"27,33",1665,u,g,ff,ff,0,f,f,0,f,g,340,1,3400000,NA,0,no.
b,"16,25","8,35e-05",u,g,m,v,85,t,f,0,f,s,200,0,2000000,NA,0,no.
b,"33,67",2165,u,g,c,v,"1,5",f,f,0,f,p,120,0,1200000,NA,0,no.
a,"22,5",11,y,p,q,v,3,t,f,0,t,g,268,0,2680000,NA,0,no.
b,"37,33",2665,u,g,cc,v,165,f,f,0,t,g,0,501,0,NA,0,no.
